 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> marzo 30, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\He873mbar298.98K (gas).txt

 Ion = Helium [2] , Mass = 4,003 amu

 Target Density =  1,4059E-04 g/cm3 = 2,1150E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999,999 eV    1,538E-03  4,152E-03  126,69 um    52,03 um    36,05 um  
   1,10 keV   1,613E-03  4,023E-03  140,49 um    56,75 um    39,50 um  
   1,20 keV   1,685E-03  3,903E-03  154,50 um    61,44 um    42,98 um  
   1,30 keV   1,754E-03  3,791E-03  168,71 um    66,08 um    46,48 um  
   1,40 keV   1,820E-03  3,686E-03  183,10 um    70,69 um    50,01 um  
   1,50 keV   1,884E-03  3,588E-03  197,65 um    75,26 um    53,56 um  
   1,60 keV   1,946E-03  3,495E-03  212,35 um    79,78 um    57,13 um  
   1,70 keV   2,006E-03  3,408E-03  227,20 um    84,27 um    60,72 um  
   1,80 keV   2,064E-03  3,326E-03  242,17 um    88,70 um    64,32 um  
   2,00 keV   2,176E-03  3,175E-03  272,47 um    97,45 um    71,56 um  
   2,25 keV   2,308E-03  3,008E-03  310,91 um   108,15 um    80,66 um  
   2,50 keV   2,432E-03  2,860E-03  349,83 um   118,57 um    89,77 um  
   2,75 keV   2,551E-03  2,728E-03  389,16 um   128,71 um    98,86 um  
   3,00 keV   2,665E-03  2,610E-03  428,78 um   138,58 um   107,92 um  
   3,25 keV   2,773E-03  2,503E-03  468,64 um   148,17 um   116,92 um  
   3,50 keV   2,878E-03  2,406E-03  508,67 um   157,51 um   125,85 um  
   3,75 keV   2,979E-03  2,318E-03  548,82 um   166,59 um   134,70 um  
   4,00 keV   3,077E-03  2,236E-03  589,04 um   175,42 um   143,46 um  
   4,50 keV   3,263E-03  2,092E-03  669,59 um   192,44 um   160,72 um  
   5,00 keV   3,440E-03  1,968E-03  750,03 um   208,55 um   177,55 um  
   5,50 keV   3,608E-03  1,860E-03  830,19 um   223,82 um   193,94 um  
   6,00 keV   3,768E-03  1,765E-03  909,93 um   238,30 um   209,87 um  
   6,50 keV   3,922E-03  1,681E-03  989,15 um   252,05 um   225,34 um  
   7,00 keV   4,070E-03  1,605E-03    1,07 mm   265,13 um   240,37 um  
   8,00 keV   4,351E-03  1,475E-03    1,22 mm   289,70 um   269,16 um  
   9,00 keV   4,629E-03  1,367E-03    1,38 mm   312,02 um   296,27 um  
  10,00 keV   4,895E-03  1,275E-03    1,52 mm   332,35 um   321,81 um  
  11,00 keV   5,150E-03  1,197E-03    1,67 mm   350,94 um   345,87 um  
  12,00 keV   5,396E-03  1,128E-03    1,81 mm   368,02 um   368,57 um  
  13,00 keV   5,635E-03  1,068E-03    1,95 mm   383,75 um   390,01 um  
  14,00 keV   5,867E-03  1,015E-03    2,09 mm   398,30 um   410,30 um  
  15,00 keV   6,093E-03  9,675E-04    2,22 mm   411,80 um   429,53 um  
  16,00 keV   6,313E-03  9,248E-04    2,35 mm   424,35 um   447,77 um  
  17,00 keV   6,529E-03  8,860E-04    2,48 mm   436,05 um   465,11 um  
  18,00 keV   6,741E-03  8,508E-04    2,61 mm   446,99 um   481,61 um  
  20,00 keV   7,152E-03  7,890E-04    2,85 mm   467,39 um   512,34 um  
  22,50 keV   7,647E-03  7,245E-04    3,14 mm   489,93 um   547,02 um  
  25,00 keV   8,126E-03  6,708E-04    3,42 mm   509,48 um   578,18 um  
  27,50 keV   8,589E-03  6,252E-04    3,68 mm   526,61 um   606,36 um  
  30,00 keV   9,039E-03  5,860E-04    3,94 mm   541,76 um   631,98 um  
  32,50 keV   9,478E-03  5,519E-04    4,18 mm   555,26 um   655,40 um  
  35,00 keV   9,906E-03  5,220E-04    4,42 mm   567,36 um   676,90 um  
  37,50 keV   1,032E-02  4,954E-04    4,65 mm   578,29 um   696,73 um  
  40,00 keV   1,073E-02  4,717E-04    4,87 mm   588,20 um   715,09 um  
  45,00 keV   1,153E-02  4,310E-04    5,29 mm   606,87 um   748,03 um  
  50,00 keV   1,228E-02  3,973E-04    5,69 mm   622,66 um   776,82 um  
  55,00 keV   1,301E-02  3,690E-04    6,06 mm   636,23 um   802,26 um  
  60,00 keV   1,370E-02  3,447E-04    6,42 mm   648,05 um   824,95 um  
  65,00 keV   1,435E-02  3,237E-04    6,76 mm   658,46 um   845,36 um  
  70,00 keV   1,496E-02  3,054E-04    7,09 mm   667,73 um   863,87 um  
  80,00 keV   1,609E-02  2,747E-04    7,71 mm   686,37 um   896,32 um  
  90,00 keV   1,709E-02  2,501E-04    8,30 mm   701,94 um   924,03 um  
 100,00 keV   1,797E-02  2,298E-04    8,86 mm   715,30 um   948,16 um  
 110,00 keV   1,878E-02  2,128E-04    9,39 mm   726,99 um   969,50 um  
 120,00 keV   1,953E-02  1,983E-04    9,90 mm   737,37 um   988,62 um  
 130,00 keV   2,024E-02  1,858E-04   10,39 mm   746,68 um     1,01 mm  
 140,00 keV   2,095E-02  1,749E-04   10,87 mm   755,11 um     1,02 mm  
 150,00 keV   2,164E-02  1,653E-04   11,33 mm   762,78 um     1,04 mm  
 160,00 keV   2,233E-02  1,568E-04   11,78 mm   769,81 um     1,05 mm  
 170,00 keV   2,302E-02  1,492E-04   12,22 mm   776,26 um     1,06 mm  
 180,00 keV   2,370E-02  1,423E-04   12,64 mm   782,21 um     1,07 mm  
 200,00 keV   2,505E-02  1,305E-04   13,45 mm   796,93 um     1,09 mm  
 225,00 keV   2,666E-02  1,183E-04   14,41 mm   814,95 um     1,12 mm  
 250,00 keV   2,818E-02  1,084E-04   15,32 mm   830,42 um     1,13 mm  
 275,00 keV   2,958E-02  1,001E-04   16,18 mm   843,94 um     1,15 mm  
 300,00 keV   3,086E-02  9,304E-05   17,00 mm   855,96 um     1,17 mm  
 325,00 keV   3,200E-02  8,699E-05   17,79 mm   866,79 um     1,18 mm  
 350,00 keV   3,302E-02  8,173E-05   18,55 mm   876,69 um     1,19 mm  
 375,00 keV   3,392E-02  7,710E-05   19,30 mm   885,84 um     1,20 mm  
 400,00 keV   3,470E-02  7,301E-05   20,02 mm   894,37 um     1,21 mm  
 450,00 keV   3,594E-02  6,607E-05   21,43 mm   920,86 um     1,23 mm  
 500,00 keV   3,681E-02  6,040E-05   22,80 mm   944,95 um     1,25 mm  
 550,00 keV   3,737E-02  5,569E-05   24,15 mm   967,37 um     1,26 mm  
 600,00 keV   3,767E-02  5,170E-05   25,48 mm   988,64 um     1,28 mm  
 650,00 keV   3,777E-02  4,827E-05   26,80 mm     1,01 mm     1,29 mm  
 700,00 keV   3,770E-02  4,530E-05   28,12 mm     1,03 mm     1,30 mm  
 800,00 keV   3,721E-02  4,038E-05   30,78 mm     1,10 mm     1,32 mm  
 900,00 keV   3,642E-02  3,648E-05   33,50 mm     1,17 mm     1,34 mm  
   1,00 MeV   3,546E-02  3,330E-05   36,28 mm     1,24 mm     1,37 mm  
   1,10 MeV   3,441E-02  3,066E-05   39,14 mm     1,31 mm     1,39 mm  
   1,20 MeV   3,333E-02  2,843E-05   42,08 mm     1,38 mm     1,41 mm  
   1,30 MeV   3,226E-02  2,652E-05   45,13 mm     1,45 mm     1,43 mm  
   1,40 MeV   3,121E-02  2,486E-05   48,28 mm     1,52 mm     1,45 mm  
   1,50 MeV   3,021E-02  2,341E-05   51,53 mm     1,59 mm     1,47 mm  
   1,60 MeV   2,924E-02  2,212E-05   54,89 mm     1,66 mm     1,49 mm  
   1,70 MeV   2,832E-02  2,098E-05   58,37 mm     1,74 mm     1,51 mm  
   1,80 MeV   2,745E-02  1,996E-05   61,95 mm     1,81 mm     1,53 mm  
   2,00 MeV   2,584E-02  1,820E-05   69,46 mm     2,11 mm     1,57 mm  
   2,25 MeV   2,405E-02  1,641E-05   79,48 mm     2,55 mm     1,64 mm  
   2,50 MeV   2,250E-02  1,495E-05   90,22 mm     2,98 mm     1,70 mm  
   2,75 MeV   2,113E-02  1,375E-05  101,68 mm     3,40 mm     1,77 mm  
   3,00 MeV   1,992E-02  1,273E-05  113,86 mm     3,82 mm     1,85 mm  
   3,25 MeV   1,885E-02  1,186E-05  126,76 mm     4,24 mm     1,93 mm  
   3,50 MeV   1,789E-02  1,111E-05  140,36 mm     4,67 mm     2,02 mm  
   3,75 MeV   1,703E-02  1,045E-05  154,68 mm     5,10 mm     2,11 mm  
   4,00 MeV   1,625E-02  9,869E-06  169,70 mm     5,53 mm     2,21 mm  
   4,50 MeV   1,490E-02  8,889E-06  201,82 mm     7,18 mm     2,43 mm  
   5,00 MeV   1,377E-02  8,094E-06  236,71 mm     8,73 mm     2,68 mm  
   5,50 MeV   1,281E-02  7,435E-06  274,35 mm    10,24 mm     2,95 mm  
   6,00 MeV   1,198E-02  6,880E-06  314,70 mm    11,75 mm     3,24 mm  
   6,50 MeV   1,126E-02  6,405E-06  357,74 mm    13,25 mm     3,55 mm  
   7,00 MeV   1,062E-02  5,995E-06  403,45 mm    14,77 mm     3,89 mm  
   8,00 MeV   9,557E-03  5,319E-06  502,68 mm    20,41 mm     4,64 mm  
   9,00 MeV   8,774E-03  4,786E-06  611,86 mm    25,64 mm     5,46 mm  
  10,00 MeV   8,041E-03  4,355E-06  730,89 mm    30,72 mm     6,37 mm  
  11,00 MeV   7,457E-03  3,997E-06  860,00 mm    35,79 mm     7,35 mm  
  12,00 MeV   6,958E-03  3,696E-06  998,79 mm    40,87 mm     8,40 mm  
  13,00 MeV   6,527E-03  3,439E-06    1,15 m     46,00 mm     9,53 mm  
  14,00 MeV   6,150E-03  3,217E-06    1,30 m     51,19 mm    10,73 mm  
  15,00 MeV   5,817E-03  3,023E-06    1,47 m     56,45 mm    11,99 mm  
  16,00 MeV   5,522E-03  2,852E-06    1,65 m     61,78 mm    13,33 mm  
  17,00 MeV   5,257E-03  2,700E-06    1,83 m     67,20 mm    14,73 mm  
  18,00 MeV   5,018E-03  2,564E-06    2,03 m     72,70 mm    16,20 mm  
  20,00 MeV   4,606E-03  2,331E-06    2,44 m     93,68 mm    19,33 mm  
  22,50 MeV   4,182E-03  2,095E-06    3,01 m    123,74 mm    23,61 mm  
  25,00 MeV   3,836E-03  1,904E-06    3,64 m    152,20 mm    28,28 mm  
  27,50 MeV   3,546E-03  1,746E-06    4,32 m    180,09 mm    33,33 mm  
  30,00 MeV   3,300E-03  1,614E-06    5,05 m    207,86 mm    38,76 mm  
  32,50 MeV   3,089E-03  1,501E-06    5,83 m    235,76 mm    44,55 mm  
  35,00 MeV   2,905E-03  1,403E-06    6,66 m    263,91 mm    50,71 mm  
  37,50 MeV   2,744E-03  1,317E-06    7,55 m    292,39 mm    57,23 mm  
  40,00 MeV   2,601E-03  1,242E-06    8,48 m    321,26 mm    64,11 mm  
  45,00 MeV   2,358E-03  1,116E-06   10,50 m    430,45 mm    78,91 mm  
  50,00 MeV   2,160E-03  1,013E-06   12,72 m    533,05 mm    95,08 mm  
  55,00 MeV   1,995E-03  9,290E-07   15,13 m    633,26 mm   112,60 mm  
  60,00 MeV   1,856E-03  8,580E-07   17,73 m    732,88 mm   131,44 mm  
  65,00 MeV   1,736E-03  7,974E-07   20,51 m    832,83 mm   151,57 mm  
  70,00 MeV   1,632E-03  7,452E-07   23,48 m    933,62 mm   172,97 mm  
  80,00 MeV   1,460E-03  6,594E-07   29,96 m      1,31 m    219,54 mm  
  90,00 MeV   1,324E-03  5,919E-07   37,15 m      1,66 m    271,00 mm  
 100,00 MeV   1,213E-03  5,374E-07   45,04 m      2,00 m    327,21 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1,0000E-01                 eV / Angstrom 
  1,0000E+00                keV / micron   
  1,0000E+00                MeV / mm       
  7,1131E+01                keV / (ug/cm2) 
  7,1131E+01                MeV / (mg/cm2) 
  7,1131E+04                keV / (mg/cm2) 
  4,7281E+02                 eV / (1E15 atoms/cm2)
  4,9780E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
