 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> agosto 10, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\SRIM_Z03_A08_Mylar.dat.txt

 Ion = Lithium [3] , Mass = 8,02 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 800,00 keV   4,270E+02  1,605E+00    3,16 um     1927 A      2590 A   
 900,00 keV   4,464E+02  1,456E+00    3,38 um     1970 A      2644 A   
   1,00 MeV   4,621E+02  1,334E+00    3,60 um     2008 A      2691 A   
   1,10 MeV   4,747E+02  1,233E+00    3,82 um     2042 A      2733 A   
   1,20 MeV   4,846E+02  1,146E+00    4,02 um     2074 A      2771 A   
   1,30 MeV   4,922E+02  1,072E+00    4,23 um     2104 A      2806 A   
   1,40 MeV   4,979E+02  1,007E+00    4,43 um     2132 A      2839 A   
   1,50 MeV   5,019E+02  9,506E-01    4,63 um     2159 A      2870 A   
   1,60 MeV   5,046E+02  9,003E-01    4,82 um     2185 A      2899 A   
   1,70 MeV   5,060E+02  8,554E-01    5,02 um     2211 A      2927 A   
   1,80 MeV   5,064E+02  8,150E-01    5,22 um     2236 A      2954 A   
   2,00 MeV   5,048E+02  7,454E-01    5,61 um     2317 A      3005 A   
   2,25 MeV   4,995E+02  6,744E-01    6,11 um     2437 A      3065 A   
   2,50 MeV   4,917E+02  6,164E-01    6,61 um     2553 A      3121 A   
   2,75 MeV   4,825E+02  5,682E-01    7,12 um     2667 A      3176 A   
   3,00 MeV   4,723E+02  5,274E-01    7,65 um     2781 A      3230 A   
   3,25 MeV   4,617E+02  4,924E-01    8,18 um     2894 A      3283 A   
   3,50 MeV   4,509E+02  4,619E-01    8,73 um     3008 A      3335 A   
   3,75 MeV   4,401E+02  4,353E-01    9,29 um     3123 A      3388 A   
   4,00 MeV   4,294E+02  4,117E-01    9,86 um     3239 A      3441 A   
   4,50 MeV   4,088E+02  3,719E-01   11,06 um     3674 A      3548 A   
   5,00 MeV   3,893E+02  3,394E-01   12,31 um     4100 A      3658 A   
   5,50 MeV   3,712E+02  3,124E-01   13,62 um     4522 A      3772 A   
   6,00 MeV   3,545E+02  2,897E-01   15,00 um     4945 A      3890 A   
   6,50 MeV   3,392E+02  2,701E-01   16,44 um     5370 A      4014 A   
   7,00 MeV   3,250E+02  2,532E-01   17,94 um     5797 A      4144 A   
   8,00 MeV   3,001E+02  2,253E-01   21,14 um     7393 A      4420 A   
   9,00 MeV   2,789E+02  2,032E-01   24,60 um     8899 A      4722 A   
  10,00 MeV   2,608E+02  1,853E-01   28,30 um     1,04 um     5050 A   
  11,00 MeV   2,452E+02  1,704E-01   32,25 um     1,18 um     5404 A   
  12,00 MeV   2,316E+02  1,578E-01   36,45 um     1,33 um     5784 A   
  13,00 MeV   2,196E+02  1,470E-01   40,88 um     1,47 um     6189 A   
  14,00 MeV   2,090E+02  1,377E-01   45,54 um     1,62 um     6620 A   
  15,00 MeV   1,996E+02  1,296E-01   50,43 um     1,76 um     7075 A   
  16,00 MeV   1,911E+02  1,224E-01   55,55 um     1,91 um     7554 A   
  17,00 MeV   1,842E+02  1,160E-01   60,88 um     2,06 um     8055 A   
