 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> marzo 30, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\SRIM_Z10_A20_Havar.dat.txt

 Ion = Neon [10] , Mass = 19,992 amu

 Target Density =  8,3000E+00 g/cm3 = 8,5978E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Co     27    044,21    044,82   
     Cr     24    021,05    018,83   
     Ni     28    013,68    013,81   
     Fe     26    020,00    019,22   
      W     74    001,05    003,32   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 900,00 keV   1,914E+03  9,478E+01    5824 A      1475 A      1506 A   
   1,00 MeV   2,034E+03  8,818E+01    6267 A      1515 A      1568 A   
   1,10 MeV   2,147E+03  8,254E+01    6691 A      1550 A      1623 A   
   1,20 MeV   2,253E+03  7,766E+01    7099 A      1581 A      1672 A   
   1,30 MeV   2,353E+03  7,339E+01    7493 A      1608 A      1718 A   
   1,40 MeV   2,449E+03  6,961E+01    7873 A      1633 A      1760 A   
   1,50 MeV   2,541E+03  6,625E+01    8242 A      1655 A      1798 A   
   1,60 MeV   2,630E+03  6,323E+01    8600 A      1676 A      1834 A   
   1,70 MeV   2,715E+03  6,050E+01    8948 A      1694 A      1868 A   
   1,80 MeV   2,796E+03  5,802E+01    9287 A      1712 A      1899 A   
   2,00 MeV   2,952E+03  5,369E+01    9941 A      1743 A      1956 A   
   2,25 MeV   3,133E+03  4,919E+01    1,07 um     1778 A      2019 A   
   2,50 MeV   3,300E+03  4,545E+01    1,15 um     1807 A      2074 A   
   2,75 MeV   3,455E+03  4,229E+01    1,22 um     1833 A      2124 A   
   3,00 MeV   3,600E+03  3,958E+01    1,29 um     1856 A      2169 A   
   3,25 MeV   3,736E+03  3,723E+01    1,35 um     1876 A      2209 A   
   3,50 MeV   3,863E+03  3,517E+01    1,41 um     1894 A      2247 A   
