 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 06, 2021 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in Helium (gas).txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  9.3100E-05 g/cm3 = 1.4006E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
499.999 eV    1.238E-03  1.309E-02   40.20 um    12.86 um    10.02 um  
549.999 eV    1.299E-03  1.325E-02   43.10 um    13.65 um    10.66 um  
599.999 eV    1.356E-03  1.339E-02   45.96 um    14.43 um    11.28 um  
649.999 eV    1.412E-03  1.351E-02   48.79 um    15.20 um    11.89 um  
699.999 eV    1.465E-03  1.361E-02   51.60 um    15.95 um    12.49 um  
799.999 eV    1.566E-03  1.376E-02   57.16 um    17.43 um    13.66 um  
899.999 eV    1.661E-03  1.387E-02   62.66 um    18.88 um    14.81 um  
999.999 eV    1.751E-03  1.394E-02   68.12 um    20.31 um    15.93 um  
   1.10 keV   1.836E-03  1.399E-02   73.54 um    21.70 um    17.02 um  
   1.20 keV   1.918E-03  1.401E-02   78.94 um    23.08 um    18.10 um  
   1.30 keV   1.996E-03  1.402E-02   84.32 um    24.45 um    19.17 um  
   1.40 keV   2.072E-03  1.401E-02   89.69 um    25.80 um    20.22 um  
   1.50 keV   2.144E-03  1.399E-02   95.05 um    27.13 um    21.26 um  
   1.60 keV   2.215E-03  1.397E-02  100.40 um    28.46 um    22.29 um  
   1.70 keV   2.283E-03  1.393E-02  105.75 um    29.77 um    23.31 um  
   1.80 keV   2.349E-03  1.389E-02  111.11 um    31.08 um    24.33 um  
