 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> aprile 02, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\SRIM_Z01_A01_gas_He689mbar298.63K.dat.txt

 Ion = Hydrogen [1] , Mass = 1,008 amu

 Target Density =  1,1109E-04 g/cm3 = 1,6712E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999,999 eV    3,183E-04  4,161E-04  596,60 um   375,57 um   302,50 um  
   1,10 keV   3,338E-04  3,951E-04  673,85 um   415,15 um   337,24 um  
   1,20 keV   3,486E-04  3,764E-04  752,86 um   454,48 um   372,16 um  
   1,30 keV   3,629E-04  3,597E-04  833,44 um   493,49 um   407,19 um  
   1,40 keV   3,766E-04  3,447E-04  915,39 um   532,10 um   442,25 um  
   1,50 keV   3,898E-04  3,310E-04  998,57 um   570,27 um   477,27 um  
   1,60 keV   4,026E-04  3,185E-04    1,08 mm   607,97 um   512,21 um  
   1,70 keV   4,150E-04  3,071E-04    1,17 mm   645,16 um   547,01 um  
   1,80 keV   4,270E-04  2,966E-04    1,25 mm   681,84 um   581,65 um  
   2,00 keV   4,501E-04  2,779E-04    1,43 mm   753,09 um   650,62 um  
   2,25 keV   5,316E-04  2,580E-04    1,64 mm   834,81 um   733,47 um  
   2,50 keV   6,216E-04  2,411E-04    1,84 mm   906,31 um   809,26 um  
   2,75 keV   7,164E-04  2,265E-04    2,03 mm   968,66 um   877,40 um  
   3,00 keV   8,157E-04  2,139E-04    2,20 mm     1,02 mm   938,30 um  
   3,25 keV   9,192E-04  2,027E-04    2,37 mm     1,07 mm   992,64 um  
   3,50 keV   1,027E-03  1,928E-04    2,52 mm     1,11 mm     1,04 mm  
   3,75 keV   1,139E-03  1,839E-04    2,67 mm     1,15 mm     1,08 mm  
   4,00 keV   1,254E-03  1,759E-04    2,81 mm     1,18 mm     1,12 mm  
   4,50 keV   1,496E-03  1,621E-04    3,06 mm     1,23 mm     1,19 mm  
   5,00 keV   1,751E-03  1,505E-04    3,28 mm     1,27 mm     1,24 mm  
   5,50 keV   2,018E-03  1,406E-04    3,48 mm     1,30 mm     1,29 mm  
   6,00 keV   2,296E-03  1,321E-04    3,66 mm     1,33 mm     1,32 mm  
   6,50 keV   2,584E-03  1,246E-04    3,83 mm     1,35 mm     1,36 mm  
   7,00 keV   2,879E-03  1,181E-04    3,98 mm     1,37 mm     1,38 mm  
   8,00 keV   3,489E-03  1,070E-04    4,25 mm     1,39 mm     1,42 mm  
   9,00 keV   4,112E-03  9,802E-05    4,48 mm     1,41 mm     1,46 mm  
  10,00 keV   4,733E-03  9,055E-05    4,68 mm     1,43 mm     1,48 mm  
  11,00 keV   5,333E-03  8,425E-05    4,86 mm     1,44 mm     1,50 mm  
  12,00 keV   5,896E-03  7,884E-05    5,02 mm     1,45 mm     1,52 mm  
  13,00 keV   6,408E-03  7,415E-05    5,17 mm     1,45 mm     1,53 mm  
