 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 06, 2021 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in Helium (gas).txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  5.7236E-05 g/cm3 = 8.6104E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
4.49999 eV    7.221E-05  1.456E-03    4.69 um     1.93 um     1.34 um  
4.99999 eV    7.611E-05  1.539E-03    4.93 um     2.03 um     1.41 um  
5.49999 eV    7.983E-05  1.618E-03    5.15 um     2.13 um     1.48 um  
5.99999 eV    8.338E-05  1.693E-03    5.37 um     2.22 um     1.54 um  
6.49999 eV    8.678E-05  1.763E-03    5.57 um     2.30 um     1.60 um  
6.99999 eV    9.006E-05  1.831E-03    5.77 um     2.38 um     1.66 um  
7.99999 eV    9.628E-05  1.958E-03    6.14 um     2.54 um     1.77 um  
8.99999 eV    1.021E-04  2.076E-03    6.50 um     2.68 um     1.88 um  
9.99999 eV    1.076E-04  2.186E-03    6.83 um     2.82 um     1.98 um  
10.9999 eV    1.129E-04  2.289E-03    7.15 um     2.94 um     2.07 um  
11.9999 eV    1.179E-04  2.387E-03    7.46 um     3.07 um     2.16 um  
12.9999 eV    1.227E-04  2.479E-03    7.75 um     3.18 um     2.24 um  
13.9999 eV    1.274E-04  2.566E-03    8.03 um     3.29 um     2.33 um  
14.9999 eV    1.318E-04  2.649E-03    8.31 um     3.40 um     2.40 um  
15.9999 eV    1.362E-04  2.729E-03    8.58 um     3.51 um     2.48 um  
16.9999 eV    1.403E-04  2.805E-03    8.84 um     3.61 um     2.56 um  
17.9999 eV    1.444E-04  2.879E-03    9.09 um     3.70 um     2.63 um  
19.9999 eV    1.522E-04  3.017E-03    9.58 um     3.89 um     2.77 um  
22.4999 eV    1.615E-04  3.176E-03   10.16 um     4.11 um     2.93 um  
24.9999 eV    1.702E-04  3.324E-03   10.72 um     4.32 um     3.09 um  
27.4999 eV    1.785E-04  3.460E-03   11.26 um     4.52 um     3.24 um  
29.9999 eV    1.864E-04  3.588E-03   11.77 um     4.71 um     3.38 um  
32.4999 eV    1.941E-04  3.707E-03   12.27 um     4.89 um     3.52 um  
34.9999 eV    2.014E-04  3.820E-03   12.76 um     5.06 um     3.65 um  
37.4999 eV    2.084E-04  3.926E-03   13.23 um     5.23 um     3.78 um  
39.9999 eV    2.153E-04  4.027E-03   13.69 um     5.40 um     3.91 um  
44.9999 eV    2.283E-04  4.214E-03   14.58 um     5.71 um     4.15 um  
49.9999 eV    2.407E-04  4.384E-03   15.44 um     6.01 um     4.38 um  
54.9999 eV    2.524E-04  4.541E-03   16.27 um     6.29 um     4.60 um  
59.9999 eV    2.637E-04  4.686E-03   17.07 um     6.56 um     4.81 um  
64.9999 eV    2.744E-04  4.820E-03   17.85 um     6.83 um     5.02 um  
69.9999 eV    2.848E-04  4.945E-03   18.61 um     7.08 um     5.22 um  
79.9999 eV    3.045E-04  5.174E-03   20.08 um     7.57 um     5.60 um  
89.9999 eV    3.229E-04  5.376E-03   21.49 um     8.03 um     5.96 um  
99.9999 eV    3.404E-04  5.559E-03   22.86 um     8.47 um     6.31 um  
    110 eV    3.570E-04  5.724E-03   24.18 um     8.89 um     6.65 um  
    120 eV    3.729E-04  5.874E-03   25.48 um     9.30 um     6.98 um  
    130 eV    3.881E-04  6.013E-03   26.74 um     9.70 um     7.29 um  
139.999 eV    4.028E-04  6.140E-03   27.98 um    10.08 um     7.60 um  
149.999 eV    4.169E-04  6.258E-03   29.19 um    10.46 um     7.90 um  
159.999 eV    4.306E-04  6.368E-03   30.39 um    10.82 um     8.20 um  
169.999 eV    4.438E-04  6.471E-03   31.56 um    11.18 um     8.49 um  
179.999 eV    4.567E-04  6.566E-03   32.72 um    11.53 um     8.77 um  
199.999 eV    4.814E-04  6.741E-03   35.00 um    12.22 um     9.32 um  
224.999 eV    5.106E-04  6.932E-03   37.77 um    13.04 um     9.98 um  
249.999 eV    5.382E-04  7.099E-03   40.47 um    13.84 um    10.63 um  
274.999 eV    5.645E-04  7.246E-03   43.12 um    14.62 um    11.25 um  
299.999 eV    5.896E-04  7.376E-03   45.72 um    15.37 um    11.86 um  
324.999 eV    6.137E-04  7.492E-03   48.28 um    16.10 um    12.45 um  
349.999 eV    6.368E-04  7.597E-03   50.80 um    16.82 um    13.03 um  
374.999 eV    6.592E-04  7.690E-03   53.29 um    17.53 um    13.60 um  
399.999 eV    6.808E-04  7.775E-03   55.76 um    18.23 um    14.15 um  
449.999 eV    7.221E-04  7.923E-03   60.61 um    19.59 um    15.24 um  
499.999 eV    7.611E-04  8.045E-03   65.39 um    20.91 um    16.30 um  
549.999 eV    7.983E-04  8.147E-03   70.10 um    22.20 um    17.34 um  
599.999 eV    8.338E-04  8.233E-03   74.76 um    23.47 um    18.35 um  
649.999 eV    8.678E-04  8.306E-03   79.36 um    24.72 um    19.34 um  
699.999 eV    9.006E-04  8.367E-03   83.93 um    25.95 um    20.32 um  
799.999 eV    9.628E-04  8.462E-03   92.98 um    28.36 um    22.23 um  
899.999 eV    1.021E-03  8.528E-03  101.93 um    30.72 um    24.09 um  
999.999 eV    1.076E-03  8.573E-03  110.80 um    33.03 um    25.91 um  
   1.10 keV   1.129E-03  8.601E-03  119.62 um    35.30 um    27.69 um  
   1.20 keV   1.179E-03  8.615E-03  128.40 um    37.55 um    29.45 um  
   1.30 keV   1.227E-03  8.619E-03  137.15 um    39.76 um    31.18 um  
   1.40 keV   1.274E-03  8.615E-03  145.88 um    41.96 um    32.89 um  
   1.50 keV   1.318E-03  8.604E-03  154.60 um    44.13 um    34.58 um  
   1.60 keV   1.362E-03  8.587E-03  163.31 um    46.29 um    36.26 um  
   1.70 keV   1.403E-03  8.565E-03  172.02 um    48.42 um    37.92 um  
   1.80 keV   1.444E-03  8.540E-03  180.73 um    50.55 um    39.57 um  
   2.00 keV   1.522E-03  8.480E-03  198.16 um    54.77 um    42.84 um  
   2.25 keV   1.615E-03  8.393E-03  220.01 um    59.99 um    46.87 um  
   2.50 keV   1.702E-03  8.297E-03  241.93 um    65.15 um    50.86 um  
   2.75 keV   1.785E-03  8.196E-03  263.96 um    70.26 um    54.81 um  
   3.00 keV   1.864E-03  8.093E-03  286.10 um    75.31 um    58.73 um  
   3.25 keV   1.941E-03  7.988E-03  308.36 um    80.33 um    62.63 um  
   3.50 keV   2.014E-03  7.884E-03  330.73 um    85.30 um    66.51 um  
   3.75 keV   2.084E-03  7.780E-03  353.23 um    90.24 um    70.38 um  
   4.00 keV   2.153E-03  7.677E-03  375.86 um    95.15 um    74.23 um  
   4.50 keV   2.283E-03  7.477E-03  421.50 um   104.93 um    81.93 um  
   5.00 keV   2.407E-03  7.286E-03  467.61 um   114.59 um    89.60 um  
   5.50 keV   2.524E-03  7.102E-03  514.20 um   124.12 um    97.25 um  
   6.00 keV   2.637E-03  6.928E-03  561.22 um   133.54 um   104.89 um  
   6.50 keV   2.744E-03  6.763E-03  608.66 um   142.85 um   112.53 um  
   7.00 keV   2.848E-03  6.605E-03  656.49 um   152.05 um   120.17 um  
   8.00 keV   3.045E-03  6.314E-03  753.26 um   170.34 um   135.45 um  
   9.00 keV   3.229E-03  6.050E-03  851.30 um   188.19 um   150.71 um  
  10.00 keV   3.404E-03  5.810E-03  950.41 um   205.62 um   165.95 um  
  11.00 keV   3.570E-03  5.592E-03    1.05 mm   222.64 um   181.15 um  
  12.00 keV   3.729E-03  5.392E-03    1.15 mm   239.26 um   196.31 um  
  13.00 keV   3.881E-03  5.208E-03    1.25 mm   255.51 um   211.40 um  
  14.00 keV   4.028E-03  5.038E-03    1.35 mm   271.37 um   226.42 um  
  15.00 keV   4.169E-03  4.881E-03    1.46 mm   286.88 um   241.36 um  
  16.00 keV   4.306E-03  4.735E-03    1.56 mm   302.03 um   256.20 um  
  17.00 keV   4.438E-03  4.599E-03    1.66 mm   316.85 um   270.95 um  
  18.00 keV   4.567E-03  4.472E-03    1.77 mm   331.32 um   285.58 um  
  20.00 keV   4.814E-03  4.241E-03    1.97 mm   359.80 um   314.52 um  
  22.50 keV   5.106E-03  3.989E-03    2.23 mm   393.89 um   349.99 um  
  25.00 keV   5.362E-03  3.769E-03    2.49 mm   426.14 um   384.64 um  
  27.50 keV   5.635E-03  3.577E-03    2.75 mm   456.69 um   418.43 um  
  30.00 keV   5.941E-03  3.405E-03    3.00 mm   485.50 um   451.28 um  
  32.50 keV   6.248E-03  3.252E-03    3.25 mm   512.58 um   483.10 um  
  35.00 keV   6.542E-03  3.115E-03    3.50 mm   538.07 um   513.88 um  
  37.50 keV   6.813E-03  2.990E-03    3.75 mm   562.14 um   543.65 um  
  40.00 keV   7.061E-03  2.876E-03    3.99 mm   584.95 um   572.45 um  
  45.00 keV   7.482E-03  2.676E-03    4.46 mm   629.04 um   627.49 um  
  50.00 keV   7.818E-03  2.505E-03    4.93 mm   669.49 um   679.48 um  
  55.00 keV   8.087E-03  2.358E-03    5.40 mm   707.10 um   728.92 um  
  60.00 keV   8.306E-03  2.229E-03    5.86 mm   742.42 um   776.20 um  
  65.00 keV   8.489E-03  2.116E-03    6.31 mm   775.85 um   821.62 um  
  70.00 keV   8.646E-03  2.015E-03    6.77 mm   807.69 um   865.45 um  
  80.00 keV   8.914E-03  1.842E-03    7.68 mm   871.72 um   949.04 um  
  90.00 keV   9.155E-03  1.700E-03    8.58 mm   930.61 um     1.03 mm  
 100.00 keV   9.390E-03  1.580E-03    9.47 mm   985.17 um     1.10 mm  
 110.00 keV   9.633E-03  1.478E-03   10.36 mm     1.04 mm     1.17 mm  
 120.00 keV   9.890E-03  1.390E-03   11.23 mm     1.08 mm     1.24 mm  
 130.00 keV   1.016E-02  1.313E-03   12.09 mm     1.13 mm     1.31 mm  
 140.00 keV   1.045E-02  1.245E-03   12.94 mm     1.17 mm     1.37 mm  
 150.00 keV   1.075E-02  1.184E-03   13.77 mm     1.21 mm     1.43 mm  
 160.00 keV   1.107E-02  1.130E-03   14.58 mm     1.24 mm     1.48 mm  
 170.00 keV   1.139E-02  1.081E-03   15.38 mm     1.28 mm     1.54 mm  
 180.00 keV   1.172E-02  1.036E-03   16.16 mm     1.31 mm     1.59 mm  
 200.00 keV   1.241E-02  9.586E-04   17.67 mm     1.37 mm     1.68 mm  
 225.00 keV   1.328E-02  8.777E-04   19.46 mm     1.44 mm     1.78 mm  
 250.00 keV   1.415E-02  8.106E-04   21.16 mm     1.51 mm     1.88 mm  
 275.00 keV   1.500E-02  7.540E-04   22.77 mm     1.56 mm     1.96 mm  
 300.00 keV   1.583E-02  7.054E-04   24.30 mm     1.61 mm     2.04 mm  
 325.00 keV   1.664E-02  6.633E-04   25.77 mm     1.65 mm     2.11 mm  
 350.00 keV   1.744E-02  6.263E-04   27.17 mm     1.69 mm     2.17 mm  
 375.00 keV   1.823E-02  5.936E-04   28.51 mm     1.72 mm     2.23 mm  
 400.00 keV   1.902E-02  5.645E-04   29.81 mm     1.75 mm     2.28 mm  
 450.00 keV   2.060E-02  5.147E-04   32.25 mm     1.82 mm     2.37 mm  
 500.00 keV   2.218E-02  4.736E-04   34.52 mm     1.88 mm     2.45 mm  
 550.00 keV   2.377E-02  4.391E-04   36.64 mm     1.92 mm     2.52 mm  
 600.00 keV   2.534E-02  4.097E-04   38.63 mm     1.96 mm     2.58 mm  
 650.00 keV   2.689E-02  3.842E-04   40.51 mm     2.00 mm     2.63 mm  
 700.00 keV   2.840E-02  3.620E-04   42.29 mm     2.03 mm     2.68 mm  
 800.00 keV   3.128E-02  3.250E-04   45.59 mm     2.11 mm     2.76 mm  
 900.00 keV   3.394E-02  2.953E-04   48.61 mm     2.17 mm     2.83 mm  
   1.00 MeV   3.637E-02  2.710E-04   51.43 mm     2.22 mm     2.88 mm  
   1.10 MeV   3.856E-02  2.507E-04   54.07 mm     2.26 mm     2.93 mm  
   1.20 MeV   4.053E-02  2.333E-04   56.58 mm     2.30 mm     2.97 mm  
   1.30 MeV   4.230E-02  2.184E-04   58.98 mm     2.33 mm     3.01 mm  
   1.40 MeV   4.388E-02  2.054E-04   61.28 mm     2.37 mm     3.04 mm  
   1.50 MeV   4.528E-02  1.940E-04   63.51 mm     2.39 mm     3.07 mm  
   1.60 MeV   4.653E-02  1.839E-04   65.68 mm     2.42 mm     3.10 mm  
   1.70 MeV   4.764E-02  1.748E-04   67.79 mm     2.44 mm     3.12 mm  
   1.80 MeV   4.862E-02  1.667E-04   69.86 mm     2.47 mm     3.15 mm  
   2.00 MeV   5.027E-02  1.526E-04   73.88 mm     2.54 mm     3.19 mm  
   2.25 MeV   5.185E-02  1.382E-04   78.76 mm     2.64 mm     3.23 mm  
   2.50 MeV   5.302E-02  1.265E-04   83.51 mm     2.74 mm     3.27 mm  
   2.75 MeV   5.389E-02  1.167E-04   88.17 mm     2.82 mm     3.31 mm  
   3.00 MeV   5.451E-02  1.084E-04   92.77 mm     2.90 mm     3.34 mm  
   3.25 MeV   5.496E-02  1.013E-04   97.33 mm     2.98 mm     3.38 mm  
   3.50 MeV   5.527E-02  9.507E-05  101.85 mm     3.05 mm     3.41 mm  
   3.75 MeV   5.547E-02  8.964E-05  106.36 mm     3.12 mm     3.43 mm  
   4.00 MeV   5.558E-02  8.483E-05  110.85 mm     3.19 mm     3.46 mm  
   4.50 MeV   5.560E-02  7.669E-05  119.83 mm     3.44 mm     3.51 mm  
   5.00 MeV   5.542E-02  7.005E-05  128.82 mm     3.68 mm     3.55 mm  
   5.50 MeV   5.511E-02  6.454E-05  137.86 mm     3.90 mm     3.60 mm  
   6.00 MeV   5.470E-02  5.987E-05  146.95 mm     4.11 mm     3.64 mm  
   6.50 MeV   5.422E-02  5.587E-05  156.12 mm     4.32 mm     3.68 mm  
   7.00 MeV   5.368E-02  5.240E-05  165.38 mm     4.52 mm     3.72 mm  
   8.00 MeV   5.248E-02  4.667E-05  184.20 mm     5.26 mm     3.80 mm  
   9.00 MeV   5.120E-02  4.212E-05  203.47 mm     5.93 mm     3.87 mm  
  10.00 MeV   4.988E-02  3.843E-05  223.25 mm     6.56 mm     3.94 mm  
  11.00 MeV   4.854E-02  3.536E-05  243.56 mm     7.17 mm     4.02 mm  
  12.00 MeV   4.721E-02  3.277E-05  264.43 mm     7.76 mm     4.09 mm  
  13.00 MeV   4.590E-02  3.055E-05  285.90 mm     8.34 mm     4.16 mm  
  14.00 MeV   4.463E-02  2.862E-05  307.99 mm     8.91 mm     4.24 mm  
  15.00 MeV   4.339E-02  2.694E-05  330.70 mm     9.48 mm     4.32 mm  
  16.00 MeV   4.219E-02  2.545E-05  354.06 mm    10.05 mm     4.40 mm  
  17.00 MeV   4.104E-02  2.413E-05  378.08 mm    10.61 mm     4.48 mm  
  18.00 MeV   3.993E-02  2.295E-05  402.77 mm    11.18 mm     4.56 mm  
  20.00 MeV   3.784E-02  2.091E-05  454.22 mm    13.35 mm     4.73 mm  
  22.50 MeV   3.546E-02  1.884E-05  522.45 mm    16.49 mm     4.96 mm  
  25.00 MeV   3.348E-02  1.716E-05  595.00 mm    19.43 mm     5.21 mm  
  27.50 MeV   3.167E-02  1.577E-05  671.76 mm    22.27 mm     5.47 mm  
  30.00 MeV   2.986E-02  1.460E-05  753.04 mm    25.07 mm     5.76 mm  
  32.50 MeV   2.834E-02  1.360E-05  838.96 mm    27.88 mm     6.06 mm  
  35.00 MeV   2.696E-02  1.273E-05  929.39 mm    30.68 mm     6.38 mm  
  37.50 MeV   2.570E-02  1.197E-05    1.02 m     33.51 mm     6.73 mm  
  40.00 MeV   2.455E-02  1.130E-05    1.12 m     36.36 mm     7.09 mm  
  45.00 MeV   2.254E-02  1.017E-05    1.34 m     47.21 mm     7.87 mm  
  50.00 MeV   2.083E-02  9.258E-06    1.57 m     57.42 mm     8.74 mm  
  55.00 MeV   1.936E-02  8.501E-06    1.82 m     67.39 mm     9.68 mm  
  60.00 MeV   1.809E-02  7.863E-06    2.08 m     77.29 mm    10.71 mm  
  65.00 MeV   1.698E-02  7.318E-06    2.37 m     87.22 mm    11.81 mm  
  70.00 MeV   1.599E-02  6.847E-06    2.67 m     97.24 mm    12.98 mm  
  80.00 MeV   1.434E-02  6.072E-06    3.33 m    134.91 mm    15.56 mm  
  90.00 MeV   1.299E-02  5.461E-06    4.07 m    170.21 mm    18.43 mm  
 100.00 MeV   1.187E-02  4.967E-06    4.87 m    204.89 mm    21.60 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  1.7472E+02                keV / (ug/cm2) 
  1.7472E+02                MeV / (mg/cm2) 
  1.7472E+05                keV / (mg/cm2) 
  1.1614E+03                 eV / (1E15 atoms/cm2)
  3.3727E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
