 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 06, 2021 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in Helium (gas).txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  5.7236E-05 g/cm3 = 8.6104E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    3.729E-05  6.602E-04    2.40 um     9723 A      6591 A   
    1.2 eV    3.729E-05  6.949E-04    2.50 um     1.02 um     6886 A   
    1.3 eV    3.881E-05  7.282E-04    2.60 um     1.06 um     7170 A   
    1.4 eV    4.028E-05  7.603E-04    2.70 um     1.10 um     7445 A   
    1.5 eV    4.169E-05  7.914E-04    2.79 um     1.13 um     7711 A   
    1.6 eV    4.306E-05  8.214E-04    2.88 um     1.17 um     7969 A   
    1.7 eV    4.438E-05  8.505E-04    2.97 um     1.21 um     8219 A   
    1.8 eV    4.567E-05  8.788E-04    3.05 um     1.24 um     8462 A   
      2 eV    4.814E-05  9.331E-04    3.21 um     1.31 um     8928 A   
   2.25 eV    5.106E-05  9.972E-04    3.39 um     1.38 um     9478 A   
2.49999 eV    5.382E-05  1.058E-03    3.56 um     1.46 um     9996 A   
2.74999 eV    5.645E-05  1.115E-03    3.73 um     1.53 um     1.05 um  
2.99999 eV    5.896E-05  1.170E-03    3.88 um     1.59 um     1.10 um  
3.24999 eV    6.137E-05  1.222E-03    4.03 um     1.65 um     1.14 um  
3.49999 eV    6.368E-05  1.273E-03    4.17 um     1.71 um     1.18 um  
3.74999 eV    6.592E-05  1.321E-03    4.31 um     1.77 um     1.22 um  
3.99999 eV    6.808E-05  1.368E-03    4.44 um     1.83 um     1.26 um  
