 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> aprile 02, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\SRIM_Z01_A01_gas_He869mbar299.42K.dat.txt

 Ion = Hydrogen [1] , Mass = 1,008 amu

 Target Density =  1,3974E-04 g/cm3 = 2,1022E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999,999 eV    4,003E-04  5,234E-04  474,28 um   298,57 um   240,48 um  
   1,10 keV   4,199E-04  4,970E-04  535,70 um   330,04 um   268,10 um  
   1,20 keV   4,386E-04  4,735E-04  598,51 um   361,30 um   295,86 um  
   1,30 keV   4,565E-04  4,525E-04  662,56 um   392,31 um   323,71 um  
   1,40 keV   4,737E-04  4,336E-04  727,72 um   423,00 um   351,58 um  
   1,50 keV   4,903E-04  4,164E-04  793,84 um   453,35 um   379,42 um  
   1,60 keV   5,064E-04  4,007E-04  860,83 um   483,32 um   407,19 um  
   1,70 keV   5,220E-04  3,863E-04  928,57 um   512,89 um   434,86 um  
   1,80 keV   5,371E-04  3,731E-04  996,99 um   542,05 um   462,40 um  
   2,00 keV   5,662E-04  3,495E-04    1,14 mm   598,69 um   517,22 um  
   2,25 keV   6,687E-04  3,245E-04    1,30 mm   663,66 um   583,09 um  
   2,50 keV   7,820E-04  3,033E-04    1,46 mm   720,49 um   643,34 um  
   2,75 keV   9,012E-04  2,850E-04    1,61 mm   770,06 um   697,51 um  
   3,00 keV   1,026E-03  2,690E-04    1,75 mm   813,23 um   745,93 um  
   3,25 keV   1,156E-03  2,550E-04    1,88 mm   850,82 um   789,13 um  
   3,50 keV   1,292E-03  2,425E-04    2,01 mm   883,57 um   827,69 um  
   3,75 keV   1,432E-03  2,314E-04    2,12 mm   912,16 um   862,16 um  
   4,00 keV   1,577E-03  2,213E-04    2,23 mm   937,19 um   893,03 um  
   4,50 keV   1,881E-03  2,039E-04    2,43 mm   978,40 um   945,68 um  
   5,00 keV   2,202E-03  1,893E-04    2,61 mm     1,01 mm   988,55 um  
   5,50 keV   2,538E-03  1,769E-04    2,77 mm     1,04 mm     1,02 mm  
   6,00 keV   2,888E-03  1,661E-04    2,91 mm     1,06 mm     1,05 mm  
   6,50 keV   3,250E-03  1,568E-04    3,04 mm     1,07 mm     1,08 mm  
   7,00 keV   3,622E-03  1,485E-04    3,16 mm     1,09 mm     1,10 mm  
   8,00 keV   4,389E-03  1,346E-04    3,38 mm     1,11 mm     1,13 mm  
   9,00 keV   5,173E-03  1,233E-04    3,56 mm     1,12 mm     1,16 mm  
  10,00 keV   5,953E-03  1,139E-04    3,72 mm     1,13 mm     1,18 mm  
  11,00 keV   6,708E-03  1,060E-04    3,86 mm     1,14 mm     1,19 mm  
  12,00 keV   7,417E-03  9,918E-05    3,99 mm     1,15 mm     1,21 mm  
  13,00 keV   8,060E-03  9,327E-05    4,11 mm     1,15 mm     1,22 mm  
  14,00 keV   8,626E-03  8,809E-05    4,22 mm     1,16 mm     1,23 mm  
  15,00 keV   9,107E-03  8,351E-05    4,33 mm     1,16 mm     1,23 mm  
  16,00 keV   9,506E-03  7,943E-05    4,43 mm     1,17 mm     1,24 mm  
  17,00 keV   9,829E-03  7,575E-05    4,53 mm     1,17 mm     1,25 mm  
  18,00 keV   1,009E-02  7,244E-05    4,62 mm     1,17 mm     1,25 mm  
  20,00 keV   1,048E-02  6,667E-05    4,81 mm     1,18 mm     1,26 mm  
  22,50 keV   1,085E-02  6,074E-05    5,04 mm     1,18 mm     1,27 mm  
  25,00 keV   1,120E-02  5,585E-05    5,26 mm     1,19 mm     1,28 mm  
  27,50 keV   1,157E-02  5,175E-05    5,47 mm     1,19 mm     1,29 mm  
  30,00 keV   1,196E-02  4,825E-05    5,68 mm     1,19 mm     1,30 mm  
  32,50 keV   1,237E-02  4,523E-05    5,88 mm     1,20 mm     1,31 mm  
  35,00 keV   1,277E-02  4,260E-05    6,07 mm     1,20 mm     1,31 mm  
  37,50 keV   1,315E-02  4,027E-05    6,26 mm     1,20 mm     1,32 mm  
  40,00 keV   1,351E-02  3,821E-05    6,45 mm     1,20 mm     1,32 mm  
  45,00 keV   1,413E-02  3,470E-05    6,81 mm     1,21 mm     1,33 mm  
  50,00 keV   1,463E-02  3,182E-05    7,15 mm     1,21 mm     1,34 mm  
  55,00 keV   1,500E-02  2,942E-05    7,48 mm     1,21 mm     1,35 mm  
  60,00 keV   1,526E-02  2,737E-05    7,81 mm     1,22 mm     1,35 mm  
