 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> marzo 30, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\SRIM_Z10_A20_gas_He871mbar298.98K.dat.txt

 Ion = Neon [10] , Mass = 19,992 amu

 Target Density =  1,4027E-04 g/cm3 = 2,1102E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999,999 eV    2,009E-03  3,260E-02   37,10 um     9,52 um     7,63 um  
   1,10 keV   2,107E-03  3,313E-02   39,63 um    10,07 um     8,10 um  
   1,20 keV   2,201E-03  3,358E-02   42,13 um    10,61 um     8,56 um  
   1,30 keV   2,291E-03  3,398E-02   44,59 um    11,13 um     9,01 um  
   1,40 keV   2,377E-03  3,433E-02   47,02 um    11,65 um     9,45 um  
   1,50 keV   2,460E-03  3,464E-02   49,44 um    12,16 um     9,88 um  
   1,60 keV   2,541E-03  3,490E-02   51,83 um    12,65 um    10,31 um  
   1,70 keV   2,619E-03  3,514E-02   54,20 um    13,15 um    10,73 um  
   1,80 keV   2,695E-03  3,535E-02   56,56 um    13,64 um    11,14 um  
   2,00 keV   2,841E-03  3,569E-02   61,23 um    14,60 um    11,96 um  
   2,25 keV   3,013E-03  3,601E-02   67,01 um    15,78 um    12,96 um  
   2,50 keV   3,176E-03  3,624E-02   72,74 um    16,94 um    13,94 um  
   2,75 keV   3,331E-03  3,640E-02   78,43 um    18,08 um    14,90 um  
   3,00 keV   3,480E-03  3,649E-02   84,10 um    19,20 um    15,84 um  
   3,25 keV   3,622E-03  3,654E-02   89,74 um    20,30 um    16,78 um  
   3,50 keV   3,758E-03  3,655E-02   95,36 um    21,40 um    17,70 um  
   3,75 keV   3,890E-03  3,653E-02  100,98 um    22,48 um    18,61 um  
   4,00 keV   4,018E-03  3,649E-02  106,59 um    23,56 um    19,52 um  
   4,50 keV   4,262E-03  3,634E-02  117,80 um    25,70 um    21,31 um  
   5,00 keV   4,492E-03  3,613E-02  129,03 um    27,82 um    23,08 um  
   5,50 keV   4,711E-03  3,588E-02  140,28 um    29,92 um    24,83 um  
   6,00 keV   4,921E-03  3,560E-02  151,56 um    31,99 um    26,56 um  
   6,50 keV   5,122E-03  3,530E-02  162,89 um    34,05 um    28,29 um  
   7,00 keV   5,315E-03  3,499E-02  174,27 um    36,10 um    30,00 um  
   8,00 keV   5,682E-03  3,434E-02  197,19 um    40,20 um    33,42 um  
   9,00 keV   6,027E-03  3,367E-02  220,34 um    44,26 um    36,82 um  
  10,00 keV   6,353E-03  3,301E-02  243,73 um    48,29 um    40,21 um  
  11,00 keV   6,663E-03  3,236E-02  267,38 um    52,28 um    43,59 um  
  12,00 keV   6,959E-03  3,173E-02  291,27 um    56,24 um    46,97 um  
  13,00 keV   7,243E-03  3,112E-02  315,40 um    60,18 um    50,36 um  
  14,00 keV   7,517E-03  3,053E-02  339,78 um    64,10 um    53,75 um  
  15,00 keV   7,781E-03  2,996E-02  364,39 um    67,99 um    57,14 um  
  16,00 keV   8,036E-03  2,941E-02  389,23 um    71,87 um    60,54 um  
  17,00 keV   8,283E-03  2,888E-02  414,30 um    75,72 um    63,95 um  
  18,00 keV   8,523E-03  2,837E-02  439,58 um    79,56 um    67,36 um  
  20,00 keV   8,984E-03  2,741E-02  490,76 um    87,29 um    74,22 um  
  22,50 keV   9,529E-03  2,630E-02  555,83 um    96,91 um    82,84 um  
  25,00 keV   1,004E-02  2,529E-02  621,99 um   106,37 um    91,49 um  
  27,50 keV   1,054E-02  2,437E-02  689,14 um   115,69 um   100,18 um  
  30,00 keV   1,100E-02  2,352E-02  757,19 um   124,87 um   108,90 um  
  32,50 keV   1,145E-02  2,274E-02  826,05 um   133,92 um   117,63 um  
  35,00 keV   1,189E-02  2,202E-02  895,63 um   142,84 um   126,38 um  
  37,50 keV   1,230E-02  2,135E-02  965,86 um   151,62 um   135,13 um  
  40,00 keV   1,271E-02  2,073E-02    1,04 mm   160,27 um   143,88 um  
  45,00 keV   1,445E-02  1,960E-02    1,18 mm   177,31 um   161,20 um  
  50,00 keV   1,601E-02  1,861E-02    1,32 mm   193,13 um   178,07 um  
  55,00 keV   1,738E-02  1,773E-02    1,45 mm   207,94 um   194,46 um  
  60,00 keV   1,855E-02  1,694E-02    1,59 mm   221,89 um   210,37 um  
  65,00 keV   1,952E-02  1,623E-02    1,72 mm   235,15 um   225,84 um  
  70,00 keV   2,032E-02  1,559E-02    1,86 mm   247,84 um   240,92 um  
  80,00 keV   2,151E-02  1,447E-02    2,13 mm   273,10 um   270,16 um  
  90,00 keV   2,231E-02  1,352E-02    2,39 mm   296,83 um   298,36 um  
 100,00 keV   2,288E-02  1,270E-02    2,67 mm   319,44 um   325,79 um  
 110,00 keV   2,332E-02  1,199E-02    2,94 mm   341,16 um   352,59 um  
 120,00 keV   2,369E-02  1,137E-02    3,21 mm   362,14 um   378,88 um  
 130,00 keV   2,403E-02  1,081E-02    3,49 mm   382,46 um   404,71 um  
 140,00 keV   2,438E-02  1,032E-02    3,77 mm   402,15 um   430,11 um  
 150,00 keV   2,475E-02  9,875E-03    4,05 mm   421,23 um   455,08 um  
 160,00 keV   2,515E-02  9,472E-03    4,34 mm   439,72 um   479,63 um  
 170,00 keV   2,558E-02  9,105E-03    4,62 mm   457,61 um   503,73 um  
 180,00 keV   2,605E-02  8,768E-03    4,90 mm   474,91 um   527,38 um  
 200,00 keV   2,708E-02  8,174E-03    5,46 mm   510,60 um   573,23 um  
 225,00 keV   2,856E-02  7,549E-03    6,14 mm   552,95 um   627,68 um  
 250,00 keV   3,021E-02  7,023E-03    6,81 mm   590,97 um   678,81 um  
 275,00 keV   3,199E-02  6,573E-03    7,46 mm   625,07 um   726,56 um  
 300,00 keV   3,388E-02  6,184E-03    8,08 mm   655,66 um   771,02 um  
 325,00 keV   3,584E-02  5,843E-03    8,69 mm   683,11 um   812,31 um  
 350,00 keV   3,784E-02  5,542E-03    9,27 mm   707,82 um   850,64 um  
 375,00 keV   3,986E-02  5,274E-03    9,82 mm   730,13 um   886,22 um  
 400,00 keV   4,188E-02  5,034E-03   10,36 mm   750,33 um   919,28 um  
 450,00 keV   4,588E-02  4,619E-03   11,37 mm   791,79 um   978,71 um  
 500,00 keV   4,978E-02  4,274E-03   12,32 mm   826,33 um     1,03 mm  
 550,00 keV   5,358E-02  3,982E-03   13,20 mm   855,58 um     1,08 mm  
 600,00 keV   5,729E-02  3,730E-03   14,04 mm   880,71 um     1,12 mm  
 650,00 keV   6,095E-02  3,512E-03   14,83 mm   902,53 um     1,15 mm  
 700,00 keV   6,458E-02  3,320E-03   15,58 mm   921,66 um     1,18 mm  
 800,00 keV   7,179E-02  2,998E-03   16,97 mm   963,51 um     1,24 mm  
 900,00 keV   7,893E-02  2,738E-03   18,24 mm   996,78 um     1,29 mm  
   1,00 MeV   8,597E-02  2,523E-03   19,41 mm     1,02 mm     1,33 mm  
   1,10 MeV   9,284E-02  2,342E-03   20,49 mm     1,05 mm     1,36 mm  
   1,20 MeV   9,951E-02  2,188E-03   21,51 mm     1,07 mm     1,39 mm  
   1,30 MeV   1,059E-01  2,054E-03   22,46 mm     1,08 mm     1,41 mm  
   1,40 MeV   1,121E-01  1,937E-03   23,35 mm     1,10 mm     1,43 mm  
   1,50 MeV   1,180E-01  1,833E-03   24,21 mm     1,11 mm     1,45 mm  
   1,60 MeV   1,236E-01  1,741E-03   25,02 mm     1,12 mm     1,47 mm  
