 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> marzo 30, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\He355mbar298.73K (gas).txt

 Ion = Helium [2] , Mass = 4,003 amu

 Target Density =  5,7217E-05 g/cm3 = 8,6076E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999,999 eV    6,261E-04  1,690E-03  311,28 um   127,85 um    88,59 um  
   1,10 keV   6,566E-04  1,637E-03  345,20 um   139,45 um    97,06 um  
   1,20 keV   6,858E-04  1,589E-03  379,64 um   150,96 um   105,61 um  
   1,30 keV   7,139E-04  1,543E-03  414,55 um   162,38 um   114,22 um  
   1,40 keV   7,408E-04  1,500E-03  449,90 um   173,70 um   122,89 um  
   1,50 keV   7,668E-04  1,460E-03  485,66 um   184,92 um   131,61 um  
   1,60 keV   7,919E-04  1,422E-03  521,78 um   196,04 um   140,38 um  
   1,70 keV   8,163E-04  1,387E-03  558,26 um   207,05 um   149,19 um  
   1,80 keV   8,400E-04  1,354E-03  595,04 um   217,96 um   158,03 um  
   2,00 keV   8,854E-04  1,292E-03  669,50 um   239,46 um   175,84 um  
   2,25 keV   9,391E-04  1,224E-03  763,94 um   265,73 um   198,20 um  
   2,50 keV   9,899E-04  1,164E-03  859,59 um   291,33 um   220,58 um  
   2,75 keV   1,038E-03  1,110E-03  956,21 um   316,25 um   242,92 um  
   3,00 keV   1,084E-03  1,062E-03    1,05 mm   340,50 um   265,17 um  
   3,25 keV   1,129E-03  1,019E-03    1,15 mm   364,08 um   287,28 um  
   3,50 keV   1,171E-03  9,792E-04    1,25 mm   387,02 um   309,23 um  
   3,75 keV   1,212E-03  9,432E-04    1,35 mm   409,33 um   330,97 um  
   4,00 keV   1,252E-03  9,101E-04    1,45 mm   431,03 um   352,50 um  
   4,50 keV   1,328E-03  8,515E-04    1,65 mm   472,85 um   394,91 um  
   5,00 keV   1,400E-03  8,010E-04    1,84 mm   512,43 um   436,27 um  
   5,50 keV   1,468E-03  7,571E-04    2,04 mm   549,94 um   476,53 um  
   6,00 keV   1,534E-03  7,183E-04    2,24 mm   585,53 um   515,67 um  
   6,50 keV   1,596E-03  6,839E-04    2,43 mm   619,32 um   553,70 um  
   7,00 keV   1,656E-03  6,531E-04    2,62 mm   651,45 um   590,63 um  
   8,00 keV   1,771E-03  6,002E-04    3,01 mm   711,83 um   661,36 um  
   9,00 keV   1,884E-03  5,562E-04    3,38 mm   766,67 um   727,99 um  
  10,00 keV   1,992E-03  5,189E-04    3,75 mm   816,63 um   790,72 um  
  11,00 keV   2,096E-03  4,870E-04    4,10 mm   862,32 um   849,84 um  
  12,00 keV   2,196E-03  4,592E-04    4,46 mm   904,27 um   905,62 um  
  13,00 keV   2,293E-03  4,348E-04    4,80 mm   942,94 um   958,31 um  
  14,00 keV   2,388E-03  4,131E-04    5,13 mm   978,69 um     1,01 mm  
  15,00 keV   2,480E-03  3,938E-04    5,46 mm     1,01 mm     1,06 mm  
  16,00 keV   2,569E-03  3,764E-04    5,78 mm     1,04 mm     1,10 mm  
  17,00 keV   2,657E-03  3,606E-04    6,10 mm     1,07 mm     1,14 mm  
  18,00 keV   2,743E-03  3,463E-04    6,40 mm     1,10 mm     1,18 mm  
  20,00 keV   2,911E-03  3,211E-04    7,00 mm     1,15 mm     1,26 mm  
  22,50 keV   3,112E-03  2,949E-04    7,72 mm     1,20 mm     1,34 mm  
  25,00 keV   3,307E-03  2,730E-04    8,40 mm     1,25 mm     1,42 mm  
  27,50 keV   3,495E-03  2,544E-04    9,05 mm     1,29 mm     1,49 mm  
  30,00 keV   3,679E-03  2,385E-04    9,68 mm     1,33 mm     1,55 mm  
  32,50 keV   3,857E-03  2,246E-04   10,28 mm     1,36 mm     1,61 mm  
  35,00 keV   4,032E-03  2,124E-04   10,86 mm     1,39 mm     1,66 mm  
  37,50 keV   4,202E-03  2,016E-04   11,42 mm     1,42 mm     1,71 mm  
  40,00 keV   4,369E-03  1,920E-04   11,96 mm     1,45 mm     1,76 mm  
  45,00 keV   4,691E-03  1,754E-04   13,00 mm     1,49 mm     1,84 mm  
  50,00 keV   4,999E-03  1,617E-04   13,97 mm     1,53 mm     1,91 mm  
  55,00 keV   5,294E-03  1,502E-04   14,89 mm     1,56 mm     1,97 mm  
  60,00 keV   5,574E-03  1,403E-04   15,77 mm     1,59 mm     2,03 mm  
  65,00 keV   5,839E-03  1,318E-04   16,61 mm     1,62 mm     2,08 mm  
  70,00 keV   6,090E-03  1,243E-04   17,42 mm     1,64 mm     2,12 mm  
  80,00 keV   6,549E-03  1,118E-04   18,95 mm     1,69 mm     2,20 mm  
