 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> marzo 30, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\SRIM_Z10_A20_gas_He243mbar298.73K.dat.txt

 Ion = Neon [10] , Mass = 19,992 amu

 Target Density =  3,9166E-05 g/cm3 = 5,8920E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999,999 eV    5,609E-04  9,102E-03  132,87 um    34,10 um    27,34 um  
   1,10 keV   5,883E-04  9,249E-03  141,93 um    36,07 um    29,02 um  
   1,20 keV   6,145E-04  9,377E-03  150,87 um    37,99 um    30,66 um  
   1,30 keV   6,396E-04  9,488E-03  159,69 um    39,87 um    32,27 um  
   1,40 keV   6,637E-04  9,586E-03  168,41 um    41,72 um    33,84 um  
   1,50 keV   6,870E-04  9,671E-03  177,05 um    43,53 um    35,39 um  
   1,60 keV   7,095E-04  9,746E-03  185,62 um    45,32 um    36,92 um  
   1,70 keV   7,314E-04  9,812E-03  194,11 um    47,09 um    38,43 um  
   1,80 keV   7,526E-04  9,870E-03  202,56 um    48,83 um    39,91 um  
   2,00 keV   7,933E-04  9,966E-03  219,30 um    52,29 um    42,84 um  
   2,25 keV   8,414E-04  1,006E-02  240,00 um    56,52 um    46,42 um  
   2,50 keV   8,869E-04  1,012E-02  260,52 um    60,66 um    49,92 um  
   2,75 keV   9,302E-04  1,016E-02  280,91 um    64,74 um    53,36 um  
   3,00 keV   9,716E-04  1,019E-02  301,18 um    68,75 um    56,74 um  
   3,25 keV   1,011E-03  1,020E-02  321,38 um    72,72 um    60,08 um  
   3,50 keV   1,049E-03  1,021E-02  341,53 um    76,64 um    63,39 um  
   3,75 keV   1,086E-03  1,020E-02  361,64 um    80,52 um    66,66 um  
   4,00 keV   1,122E-03  1,019E-02  381,73 um    84,37 um    69,90 um  
   4,50 keV   1,190E-03  1,015E-02  421,90 um    92,06 um    76,31 um  
   5,00 keV   1,254E-03  1,009E-02  462,11 um    99,64 um    82,65 um  
   5,50 keV   1,316E-03  1,002E-02  502,40 um   107,14 um    88,91 um  
   6,00 keV   1,374E-03  9,941E-03  542,81 um   114,57 um    95,13 um  
   6,50 keV   1,430E-03  9,857E-03  583,38 um   121,95 um   101,31 um  
   7,00 keV   1,484E-03  9,769E-03  624,12 um   129,27 um   107,46 um  
   8,00 keV   1,587E-03  9,587E-03  706,21 um   143,98 um   119,69 um  
   9,00 keV   1,683E-03  9,402E-03  789,12 um   158,53 um   131,87 um  
  10,00 keV   1,774E-03  9,218E-03  872,91 um   172,94 um   144,00 um  
