 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> marzo 30, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\He252mbar299.13K (gas).txt

 Ion = Helium [2] , Mass = 4,003 amu

 Target Density =  4,0562E-05 g/cm3 = 6,1020E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999,999 eV    4,438E-04  1,198E-03  439,10 um   180,34 um   124,96 um  
   1,10 keV   4,655E-04  1,161E-03  486,95 um   196,71 um   136,92 um  
   1,20 keV   4,862E-04  1,126E-03  535,52 um   212,94 um   148,97 um  
   1,30 keV   5,061E-04  1,094E-03  584,77 um   229,05 um   161,12 um  
   1,40 keV   5,252E-04  1,063E-03  634,63 um   245,02 um   173,35 um  
   1,50 keV   5,436E-04  1,035E-03  685,07 um   260,85 um   185,65 um  
   1,60 keV   5,614E-04  1,008E-03  736,03 um   276,53 um   198,02 um  
   1,70 keV   5,787E-04  9,833E-04  787,48 um   292,07 um   210,45 um  
   1,80 keV   5,955E-04  9,596E-04  839,37 um   307,46 um   222,92 um  
   2,00 keV   6,277E-04  9,160E-04  944,40 um   337,78 um   248,04 um  
   2,25 keV   6,658E-04  8,677E-04    1,08 mm   374,84 um   279,58 um  
   2,50 keV   7,018E-04  8,251E-04    1,21 mm   410,95 um   311,15 um  
   2,75 keV   7,360E-04  7,870E-04    1,35 mm   446,11 um   342,66 um  
   3,00 keV   7,688E-04  7,529E-04    1,49 mm   480,31 um   374,05 um  
   3,25 keV   8,002E-04  7,221E-04    1,62 mm   513,58 um   405,24 um  
   3,50 keV   8,304E-04  6,942E-04    1,76 mm   545,94 um   436,20 um  
   3,75 keV   8,595E-04  6,686E-04    1,90 mm   577,41 um   466,87 um  
   4,00 keV   8,877E-04  6,452E-04    2,04 mm   608,02 um   497,24 um  
   4,50 keV   9,415E-04  6,036E-04    2,32 mm   667,00 um   557,06 um  
   5,00 keV   9,925E-04  5,679E-04    2,60 mm   722,84 um   615,41 um  
   5,50 keV   1,041E-03  5,367E-04    2,88 mm   775,76 um   672,20 um  
   6,00 keV   1,087E-03  5,092E-04    3,15 mm   825,95 um   727,41 um  
